932,STT-D,0
933,STT-E,0
934,STT-G,0
935,STZ.B,0
936,SUI-A,0
937,TAP.A,0
938,TCB-B,0
939,TCB-C,0
940,TCB+,0
941,TCO-J,0
942,TCO-K,0
943,TGP-A,0
944,TI.A,0
945,TMK-B,0
946,TMK-C,0
947,TNP-B,0
948,TNP-C,0
949,TNP-D,0
950,TOO-A,0
951,TOO-B,0
952,TRNO-A,0
953,TY-,0
954,UA.C,0
955,UBP-F,0
956,UBP-G,0
957,UMH-A,0
958,UMH-B,0
959,USB-A,0
960,USB-H,0
961,USB-M,0
962,USB-N,0
963,USB-O,0
964,VALE.P,0
965,VER-F,0
966,VLY-A,0
967,VLY+,0
968,VNO-G,0
969,VNO-I,0
970,VNO-K,0
971,VNO-L,0
972,VR-A,0
973,WBS-E,0
974,WFC-J,0
975,WFC-L,0
976,WFC-N,0
977,WFC-O,0
978,WFC-P,0
979,WFC-Q,0
980,WFC-R,0
981,WFC-T,0
982,WFC-V,0
983,WFC-W,0
984,WFC-X,0
985,WFC+,0
986,WFE-A,0
987,WPG-H,0
988,WPG-I,0
989,WRB-B,0
990,WRB-C,0
991,WRB-D,0
992,WSO.B,0
993,YUM#,0
994,YUMA-A,0
995,YUMC#,0
996,ZB-A,0
997,ZB-F,0
998,ZB-G,0
999,ZB-H,0
1000,AA,1
1001,BA,1
1002,CAT,1
1003,DD,1
1004,DIS,1
1005,GE,1
1006,HPQ,1
1007,IBM,1
1008,KO,1
1009,AEP,1
1010,CNP,1
1011,CVX,1
1012,DTE,1
1013,ED,1
1014,FL,1
1015,GT,1
1016,HON,1
1017,IP,1
1018,JNJ,1
1019,MCD,1
1020,MMM,1
1021,MO,1
1022,MRK,1
1023,MRO,1
1024,NAV,1
1025,PG,1
1026,UTX,1
1027,XOM,1
1028,AVP,1
1029,AXP,1
1030,BMY,1
1031,DE,1
1032,DOW,1
1033,EMR,1
1034,ETN,1
1035,ETR,1
1036,F,1
1037,FAC,1
1038,HAL,1
1039,LLY,1
1040,PBI,1
1041,PCG,1
1042,PEP,1
1043,PFE,1
1044,SJW,1
1045,TXN,1
1046,UIS,1
1047,WFC,1
1048,WMT,1
1049,ALCO,1
1050,ALE,1
1051,APOG,1
1052,AVT,1
1053,AXR,1
1054,BK,1
1055,BRT,1
1056,CHE,1
1057,DCO,1
1058,EDE,1
1059,ESL,1
1060,FRT,1
1061,FUR,0
1062,GAS,0
1063,GFF,1
1064,GTY,1
1065,MATX,1
1066,NYT,1
1067,PEI,1
1068,PHI,1
1069,PKY,1
1070,PNR,1
1071,SPA,1
1072,SVT,1
1073,TPC,1
1074,WFT,1
1075,WY,1
1076,SYY,1
1077,SNE,1
1078,MEG,1
1079,TM,1
1080,AET,1
1081,BP,1
1082,C,1
1083,CL,1
1084,GD,1
1085,KR,1
1086,LMT,1
1087,MSI,1
1088,XRX,1
1089,FRM,0
1090,NC,1
1091,ASA,1
1092,FDX,1
1093,APA,1
1094,EIX,1
1095,EXC,1
1096,LUV,1
